µØË°ÔÖ±¸»ú·¿¸ºÒ»²ãS0-ST|3S0-LS|1

S0-E1-NA|1#ÎÂÊª¶È
                                                                                                                          S0-E22-ST|1S0-E22-A1-NA|PTÖµS0-E22-A1-ST|1S0-E22-A1-VA|1S0-E22-A2-NA|CTÖµS0-E22-A2-ST|1S0-E22-A2-VA|160S0-E22-A3-NA|ÏàµçÑ¹ A£¨V£©S0-E22-A3-ST|1S0-E22-A3-VA|239.30-E22-A4-NA|ÏßµçÑ¹ AB£¨V£©S0-E22-A4-ST|1S0-E22-A4-VA|415.8S0-E22-A5-NA|ÏàµçÁ÷ A£¨A£©S0-E22-A5-ST|1S0-E22-A5-VA|38.08S0-E22-A7-NA|ÏàÓÐ¹¦¹¦ÂÊ A£¨Kw£©S0-E22-A7-ST|1S0-E22-A7-VA|7.36S0-E22-A8-NA|Ïà¹¦ÂÊÒòÊý AS0-E22-A8-ST|1S0-E22-A8-VA|0.814!S0-E22-A9-NA|ÏàÎÞ¹¦¹¦ÂÊ A£¨Kvar£©S0-E22-A9-ST|1S0-E22-A9-VA|4.96!S0-E22-A10-NA|ÏàÊÓÔÚ¹¦ÂÊ A£¨Kva£©S0-E22-A10-ST|1S0-E22-A10-VA|9.120-E22-A11-NA|ÏàµçÑ¹ B£¨V£©S0-E22-A11-ST|1S0-E22-A11-VA|239.8S0-E22-A12-NA|ÏßµçÑ¹ BC£¨V£©S0-E22-A12-ST|1S0-E22-A12-VA|415.30-E22-A13-NA|ÏàµçÁ÷ B£¨A£©S0-E22-A13-ST|1S0-E22-A13-VA|38.4 S0-E22-A15-NA|ÏàÓÐ¹¦¹¦ÂÊ B£¨Kw£©S0-E22-A15-ST|1S0-E22-A15-VA|7.52S0-E22-A16-NA|Ïà¹¦ÂÊÒòÊý BS0-E22-A16-ST|1S0-E22-A16-VA|0.83"S0-E22-A17-NA|ÏàÎÞ¹¦¹¦ÂÊ B£¨Kvar£©S0-E22-A17-ST|1S0-E22-A17-VA|4.8!S0-E22-A18-NA|ÏàÊÓÔÚ¹¦ÂÊ B£¨Kva£©S0-E22-A18-ST|1S0-E22-A18-VA|9.120-E22-A19-NA|ÏàµçÑ¹ C£¨V£©S0-E22-A19-ST|1S0-E22-A19-VA|238.9S0-E22-A20-NA|ÏßµçÑ¹ CA£¨V£©S0-E22-A20-ST|1S0-E22-A20-VA|412.60-E22-A21-NA|ÏàµçÁ÷ C£¨A£©S0-E22-A21-ST|1S0-E22-A21-VA|39.68S0-E22-A22-NA|Â©µçÁ÷£¨A£©S0-E22-A22-ST|1S0-E22-A22-VA|0 S0-E22-A23-NA|ÏàÓÐ¹¦¹¦ÂÊ C£¨Kw£©S0-E22-A23-ST|1S0-E22-A23-VA|7.68S0-E22-A24-NA|Ïà¹¦ÂÊÒòÊý CS0-E22-A24-ST|1S0-E22-A24-VA|0.82"S0-E22-A25-NA|ÏàÎÞ¹¦¹¦ÂÊ C£¨Kvar£©S0-E22-A25-ST|1S0-E22-A25-VA|5.12!S0-E22-A26-NA|ÏàÊÓÔÚ¹¦ÂÊ C£¨Kva£©S0-E22-A26-ST|1S0-E22-A26-VA|9.44S0-E22-A27-NA|ÏàµçÑ¹£¨V£©S0-E22-A27-ST|1S0-E22-A27-VA|239.3S0-E22-A28-NA|ÏßµçÑ¹£¨V£©S0-E22-A28-ST|1S0-E22-A28-VA|414.5S0-E22-A29-NA|µçÁ÷£¨A£©S0-E22-A29-ST|1S0-E22-A29-VA|38.72S0-E22-A30-NA|ÆµÂÊ£¨Hz£©S0-E22-A30-ST|1S0-E22-A30-VA|49.99S0-E22-A31-NA|ÓÐ¹¦¹¦ÂÊ£¨Kw£©S0-E22-A31-ST|1S0-E22-A31-VA|22.88S0-E22-A32-NA|¹¦ÂÊÒòÊýS0-E22-A32-ST|1S0-E22-A32-VA|0.821S0-E22-A33-NA|ÎÞ¹¦¹¦ÂÊ£¨Kvar£©S0-E22-A33-ST|1S0-E22-A33-VA|15.2S0-E22-A34-NA|ÊÓÔÚ¹¦ÂÊ£¨Kva£©S0-E22-A34-ST|1S0-E22-A34-VA|27.84!S0-E22-A35-NA|ÕýÏòÓÐ¹¦µçÄÜ£¨kWh£©S0-E22-A35-ST|1S0-E22-A35-VA|808845!S0-E22-A36-NA|¸ºÏòÓÐ¹¦µçÄÜ£¨kWh£©S0-E22-A36-ST|1S0-E22-A36-VA|0#S0-E22-A37-NA|ÕýÏòÎÞ¹¦µçÄÜ£¨kVarh£©S0-E22-A37-ST|1S0-E22-A37-VA|3.15451e+006#S0-E22-A38-NA|¸ºÏòÎÞ¹¦µçÄÜ£¨kVarh£©S0-E22-A38-ST|1S0-E22-A38-VA|192348


S0-E31-NA|1#Â©Ë®¿ØÖÆÆ÷
S0-E31-ST|1
S0-E31-A13-NA|Â©Ë®µãÎ»ÖÃ
S0-E31-A13-ST|1
S0-E31-A13-VA|0"
S0-E31-A17-NA|ºìÂÌÏßµç×è£¨Éþ³¤¶È£©
S0-E31-A17-ST|1
S0-E31-A17-VA|7.65
S0-E31-D5-NA|Â©Ë®¼ì²â
S0-E31-D5-ST|1
S0-E31-D5-VA|±¨¾¯½â³ý
S0-E31-D5-OV|0
S0-E31-D6-NA|»Ò³¾¼°Ð¡Ë®Öé¼ì²â
S0-E31-D6-ST|1
S0-E31-D6-VA|±¨¾¯½â³ý
S0-E31-D6-OV|0
S0-E31-D7-NA|Â©Ë®Éþ¼ì²â
S0-E31-D7-ST|1
S0-E31-D7-VA|»Ö¸´Õý³£
S0-E31-D7-OV|0


S0-E32-NA|2#Â©Ë®¿ØÖÆÆ÷
S0-E32-ST|1S0-E32-A13-NA|Â©Ë®µãÎ»ÖÃS0-E32-A13-ST|1S0-E32-A13-VA|0"S0-E32-A17-NA|ºìÂÌÏßµç×è£¨Éþ³¤¶È£©S0-E32-A17-ST|1S0-E32-A17-VA|15.15S0-E32-D5-NA|Â©Ë®¼ì²âS0-E32-D5-ST|1S0-E32-D5-VA|±¨¾¯½â³ýS0-E32-D5-OV|0S0-E32-D6-NA|»Ò³¾¼°Ð¡Ë®Öé¼ì²âS0-E32-D6-ST|1S0-E32-D6-VA|±¨¾¯½â³ýS0-E32-D6-OV|0S0-E32-D7-NA|Â©Ë®Éþ¼ì²âS0-E32-D7-ST|1S0-E32-D7-VA|»Ö¸´Õý³£S0-E32-D7-OV|0


S0-E41-NA|UPS2-1#µç³Ø×é
S0-E41-ST|1
S0-E41-A1-NA|IN1Ö±Á÷µçÑ¹£¨V£©
S0-E41-A1-ST|1
S0-E41-A1-VA|431.05
S0-E41-A2-NA|IN2Ö±Á÷µçÁ÷£¨A£©
S0-E41-A2-ST|1
S0-E41-A2-VA|-0.540
S0-E41-A3-NA|Ö±Á÷¹¦ÂÊ£¨Kw£©
S0-E41-A3-ST|1
S0-E41-A3-VA|0.23




S0-E42-NA|UPS2-2#µç³Ø×é
S0-E42-ST|1
S0-E42-A1-NA|IN1Ö±Á÷µçÑ¹£¨V£©
S0-E42-A1-ST|1
S0-E42-A1-VA|431.3
S0-E42-A2-NA|IN2Ö±Á÷µçÁ÷£¨A£©
S0-E42-A2-ST|1
S0-E42-A2-VA|-0.510
S0-E42-A3-NA|Ö±Á÷¹¦ÂÊ£¨Kw£©
S0-E42-A3-ST|1
S0-E42-A3-VA|0.215



S0-E43-NA|UPS2-3#µç³Ø×é
                                                                   S0-E43-ST|1S0-E43-A1-NA|IN1Ö±Á÷µçÑ¹£¨V£©S0-E43-A1-ST|1S0-E43-A1-VA|434.1S0-E43-A2-NA|IN2Ö±Á÷µçÁ÷£¨A£©S0-E43-A2-ST|1S0-E43-A2-VA|-1.390-E43-A3-NA|Ö±Á÷¹¦ÂÊ£¨Kw£©S0-E43-A3-ST|1S0-E43-A3-VA|0.6S0-E44-NA|UPS1-1#µç³Ø×é
                     S0-E44-ST|1S0-E44-A1-NA|IN1Ö±Á÷µçÑ¹£¨V£©S0-E44-A1-ST|1S0-E44-A1-VA|430.65S0-E44-A2-NA|IN2Ö±Á÷µçÁ÷£¨A£©S0-E44-A2-ST|1S0-E44-A2-VA|-0.250-E44-A3-NA|Ö±Á÷¹¦ÂÊ£¨Kw£©S0-E44-A3-ST|1S0-E44-A3-VA|0.105S0-E45-NA|UPS1-2#µç³Ø×é
                                                                                                           S0-E45-ST|1S0-E45-A1-NA|IN1Ö±Á÷µçÑ¹£¨V£©S0-E45-A1-ST|1S0-E45-A1-VA|430.85S0-E45-A2-NA|IN2Ö±Á÷µçÁ÷£¨A£©S0-E45-A2-ST|1S0-E45-A2-VA|-1.20-E45-A3-NA|Ö±Á÷¹¦ÂÊ£¨Kw£©S0-E45-A3-ST|1S0-E45-A3-VA|0.515S0-E46-NA|UPS1-3#µç³Ø×é
